Iteration;Dist_previous;Curv_abscissa;Cart_abscissa;Cart_ordinate;Elevation;Curvature;Vel_perturb;Velocity;Mean_depth;True_elevation
1839;31.9078579663306;191.117354579774;723065.4;6815508.65;0;0;0;0;1;0
1839;31.4402115129123;222.557566092686;723067.78;6815540;0;0;0;0;1;0
1839;30.7678159766758;253.325382069362;723071.35;6815570.56;0;0;0;0;1;0
1839;32.827093992607;286.152476061969;723079.69;6815602.31;0;0;0;0;1;0
1839;45.0856695643196;331.238145626289;723092.39;6815645.57;0;0;0;0;1;0
1839;32.3373994003168;363.575545026606;723100.32;6815676.92;0;0;0;0;1;0
1839;51.80009749004;415.375642516645;723113.82;6815726.93;0;0;0;0;1;0
1839;35.2288205876109;450.604463104256;723122.55;6815761.06;0;0;0;0;1;0
1839;25.9815511472238;476.58601425148;723130.88;6815785.67;0;0;0;0;1;0
1839;25.9096159753573;502.495630226837;723142.79;6815808.68;0;0;0;0;1;0
1839;32.0830251068247;534.578655333662;723163.61;6815833.09;0;0;0;0;1;0
1839;25.8301606653021;560.408815998964;723180.15;6815852.93;0;0;0;0;1;0
1839;18.8029412593221;579.211757258286;723194.7;6815864.84;0;0;0;0;1;0
1839;18.6920972609075;597.903854519194;723210.66;6815874.57;0;0;0;0;1;0
1839;22.04247036952;619.946324888714;723230.9;6815883.3;0;0;0;0;1;0
1839;17.4599999999627;637.406324888676;723248.36;6815883.3;0;0;0;0;1;0
1839;13.8096669040338;651.21599179271;723261.46;6815878.93;0;0;0;0;1;0
1839;12.3516517114577;663.567643504168;723270.58;6815870.6;0;0;0;0;1;0
1839;15.4629104634465;679.030553967614;723284.08;6815863.06;0;0;0;0;1;0
1839;22.2612937628991;701.291847730513;723304.72;6815854.72;0;0;0;0;1;0
1839;17.0796750552535;718.371522785767;723319.4;6815845.99;0;0;0;0;1;0
1839;18.8262715375286;737.197794323296;723336.47;6815838.05;0;0;0;0;1;0
1839;14.025605156433;751.223399479728;723348.77;6815831.31;0;0;0;0;1;0
1839;18.3911745137037;769.614573993432;723364.25;6815821.38;0;0;0;0;1;0
1839;14.6985747608719;784.313148754304;723378.09;6815816.43;0;0;0;0;1;0
1839;25.8392143844028;810.152363138707;723403.92;6815815.74;0;0;0;0;1;0
1839;30.778466498455;840.930829637162;723434.1;6815821.78;0;0;0;0;1;0
1839;25.8743309092582;866.80516054642;723458.31;6815830.91;0;0;0;0;1;0
1839;44.9102761069862;911.715436653406;723498.79;6815850.36;0;0;0;0;1;0
1839;34.5783082292892;946.293744882695;723528.16;6815868.61;0;0;0;0;1;0
1839;38.9265680476151;985.22031293031;723558.32;6815893.22;0;0;0;0;1;0
1839;35.3953697540795;1020.61568268439;723584.51;6815917.03;0;0;0;0;1;0
1839;30.3188142908792;1050.93449697527;723605.55;6815938.86;0;0;0;0;1;0
1839;17.6980224880641;1068.63251946333;723617.45;6815951.96;0;0;0;0;1;0
1839;19.2669483836207;1087.89946784695;723627.77;6815968.23;0;0;0;0;1;0
1839;16.2891681795293;1104.18863602648;723636.9;6815981.72;0;0;0;0;1;0
1839;17.4246750328929;1121.61331105938;723645.63;6815996.8;0;0;0;0;1;0
1839;15.0934588481236;1136.7067699075;723652.38;6816010.3;0;0;0;0;1;0
1839;18.3208651542228;1155.02763506172;723657.93;6816027.76;0;0;0;0;1;0
1839;21.0890516617688;1176.11668672349;723665.08;6816047.6;0;0;0;0;1;0
1839;19.8955095442108;1196.0121962677;723674.6;6816065.07;0;0;0;0;1;0
1839;20.2435298300282;1216.25572609773;723684.13;6816082.93;0;0;0;0;1;0
1839;15.7515840475747;1232.00731014531;723694.45;6816094.83;0;0;0;0;1;0
1839;16.4321757534135;1248.43948589872;723704.37;6816107.93;0;0;0;0;1;0
1839;14.5339946333708;1262.97348053209;723712.7;6816119.84;0;0;0;0;1;0
1839;21.5093839990883;1284.48286453118;723725.8;6816136.9;0;0;0;0;1;0
